uid,period,contr_nrmd,contr_oth_nrmd
23,2,1.0,0.375
23,3,1.0,0.375
23,4,0.0,0.25
23,5,1.0,0.25
23,6,1.0,0.375
23,7,1.0,0.5
23,8,1.0,0.375
23,9,1.0,0.25
23,10,0.0,0.25
24,1,1.0,0.25
24,2,1.0,0.25
24,3,1.0,0.25
24,4,1.0,0.125
24,5,1.0,0.0
24,6,0.0,0.125
24,7,0.0,0.125
24,8,0.0,0.125
24,9,0.0,0.125
24,10,0.0,0.0
25,1,1.0,0.25
25,2,1.0,0.25
25,3,1.0,0.25
25,4,0.0,0.375
25,5,0.0,0.25
25,6,0.5,0.0
25,7,0.0,0.125
25,8,0.5,0.0
25,9,0.0,0.125
25,10,0.0,0.0
26,1,0.5,0.375
26,2,0.5,0.25
26,3,0.0,0.375
26,4,0.5,0.25
26,5,0.0,0.125
26,6,0.5,0.25
26,7,0.0,0.125
26,8,0.0,0.25
26,9,0.5,0.125
26,10,0.0,0.375
27,1,1.0,0.25
27,2,0.5,0.25
27,3,1.0,0.125
27,4,1.0,0.125
27,5,0.0,0.125
27,6,1.0,0.125
27,7,0.0,0.125
27,8,0.5,0.125
27,9,0.5,0.125
27,10,1.0,0.125
28,1,0.0,0.375
28,2,0.5,0.5
28,3,0.0,0.25
28,4,0.5,0.125
28,5,0.5,0.125
28,6,0.0,0.375
28,7,0.0,0.0
28,8,0.5,0.0
28,9,0.5,0.125
28,10,0.5,0.125
29,1,0.5,0.25
29,2,0.0,0.125
29,3,0.0,0.375
29,4,0.0,0.125
29,5,0.5,0.0
29,6,0.0,0.0
29,7,0.0,0.125
29,8,0.0,0.125
29,9,0.0,0.0
29,10,0.0,0.0
30,1,0.5,0.25
30,2,0.5,0.25
30,3,1.0,0.25
30,4,0.0,0.25
30,5,0.0,0.0
30,6,0.5,0.125
30,7,1.0,0.125
30,8,0.5,0.125
30,9,0.0,0.125
30,10,0.0,0.0
31,1,0.5,0.25
31,2,1.0,0.125
31,3,1.0,0.25
31,4,1.0,0.0
31,5,0.0,0.0
31,6,0.5,0.125
31,7,0.5,0.25
31,8,0.5,0.125
31,9,0.5,0.0
31,10,0.0,0.0
32,1,1.0,0.25
32,2,1.0,0.5
32,3,1.0,0.25
32,4,0.0,0.0
32,5,0.5,0.5
32,6,0.5,0.375
32,7,0.0,0.375
32,8,1.0,0.0
32,9,0.0,0.125
32,10,0.5,0.25
33,1,0.5,0.125
33,2,0.0,0.125
33,3,0.0,0.125
33,4,0.5,0.0
33,5,0.0,0.375
33,6,0.0,0.375
33,7,0.0,0.375
33,8,0.5,0.25
33,9,0.0,0.5
33,10,0.0,0.125
34,1,0.0,0.375
34,2,0.5,0.25
34,3,0.0,0.375
34,4,0.0,0.25
34,5,0.0,0.25
34,6,0.0,0.5
34,7,0.5,0.25
34,8,0.0,0.375
34,9,0.5,0.25
34,10,0.0,0.125
35,1,0.0,0.0
35,2,0.0,0.375
35,3,0.0,0.25
35,4,0.0,0.125
35,5,0.0,0.125
35,6,0.0,0.0
35,7,0.0,0.0
35,8,0.0,0.0
35,9,0.0,0.0
35,10,0.0,0.125
36,1,0.5,0.25
36,2,0.0,0.125
36,3,1.0,0.125
36,4,0.0,0.25
36,5,0.5,0.0
36,6,0.0,0.375
36,7,1.0,0.0
36,8,0.0,0.375
36,9,0.5,0.0
36,10,0.0,0.125
37,1,0.5,0.5
37,2,1.0,0.5
37,3,0.0,0.5
37,4,0.0,0.0
37,5,1.0,0.0
37,6,0.5,0.5
37,7,0.5,0.0
37,8,0.5,0.125
37,9,0.0,0.125
37,10,0.0,0.125
38,1,0.5,0.25
38,2,1.0,0.125
38,3,0.0,0.25
38,4,0.0,0.125
38,5,0.5,0.0
38,6,1.0,0.125
38,7,0.0,0.125
38,8,0.5,0.25
38,9,1.0,0.125
38,10,0.0,0.125
39,1,0.5,0.25
39,2,0.0,0.375
39,3,0.0,0.25
39,4,0.5,0.0
39,5,0.0,0.125
39,6,0.0,0.375
39,7,0.0,0.125
39,8,0.5,0.25
39,9,0.0,0.375
39,10,0.0,0.125
40,1,0.5,0.375
40,2,0.5,0.125
40,3,0.0,0.375
40,4,0.5,0.25
40,5,0.0,0.125
40,6,0.5,0.125
40,7,0.5,0.25
40,8,0.0,0.25
40,9,0.5,0.25
40,10,0.0,0.25
41,1,0.5,0.5
41,2,0.5,0.625
41,3,1.0,0.5
41,4,1.0,0.125
41,5,0.0,0.125
41,6,0.0,0.25
41,7,0.5,0.125
41,8,0.5,0.0
41,9,0.0,0.125
41,10,0.0,0.0
42,1,1.0,0.625
42,2,0.0,0.625
42,3,0.0,0.75
42,4,0.0,0.5
42,5,0.0,0.625
42,6,0.0,0.625
42,7,0.0,0.5
42,8,0.0,0.5
42,9,0.0,0.5
42,10,0.0,0.25
43,1,0.5,0.375
43,2,0.0,0.375
43,3,0.5,0.625
43,4,0.0,0.625
43,5,1.0,0.375
43,6,0.0,0.375
43,7,0.5,0.375
43,8,0.0,0.5
43,9,0.0,0.25
43,10,0.5,0.25
44,1,0.0,0.25
44,2,0.0,0.25
44,3,0.0,0.125
44,4,0.5,0.0
44,5,0.0,0.25
44,6,0.0,0.0
44,7,0.5,0.125
44,8,0.0,0.375
44,9,0.0,0.25
44,10,0.5,0.0
45,1,1.0,0.375
45,2,1.0,0.125
45,3,1.0,0.5
45,4,1.0,0.25
45,5,1.0,0.5
45,6,0.5,0.125
45,7,0.0,0.5
45,8,0.0,0.25
45,9,0.0,0.25
45,10,0.0,0.0
46,1,0.5,0.5
46,2,0.5,0.25
46,3,0.5,0.625
46,4,0.0,0.5
46,5,1.0,0.5
46,6,0.5,0.125
46,7,0.5,0.375
46,8,0.5,0.125
46,9,0.0,0.25
46,10,0.0,0.0
47,1,0.5,0.375
47,2,0.5,0.375
47,3,0.5,0.375
47,4,0.5,0.25
47,5,0.0,0.25
47,6,0.0,0.125
47,7,0.5,0.5
47,8,0.5,0.5
47,9,0.5,0.25
47,10,0.0,0.25
48,1,1.0,0.5
48,2,1.0,0.25
48,3,1.0,0.5
48,4,0.5,0.0
48,5,1.0,0.375
48,6,0.5,0.25
48,7,1.0,0.0
48,8,1.0,0.25
48,9,0.5,0.125
48,10,0.0,0.125
49,1,0.0,0.5
49,2,0.0,0.375
